Time,Total Memory,Free Memory,Current JVM Threads,Max JVM Threads,Total Sessions,Max Sessions,Session Average Time,Running Service Threads,Max Running Service Threads,Request Average Time,New Requests,Completed Requests
2025-05-12 00:00:24 UTC,10737418240,2706873568,16012,20616,2,3008,1485,2,3986,1236,57,57
2025-05-12 00:01:24 UTC,10737418240,4956559944,16012,20616,3,3008,2509,2,3986,2045,46,46
2025-05-12 00:02:24 UTC,10737418240,4053244368,16007,20616,2,3008,3387,2,3986,2439,65,65
2025-05-12 00:03:24 UTC,10737418240,2825879496,16006,20616,1,3008,3272,1,3986,2592,60,61
2025-05-12 00:04:24 UTC,10737418240,8008930040,16006,20616,1,3008,1405,1,3986,1282,58,58
2025-05-12 00:05:26 UTC,10737418240,2026462320,16006,20616,1,3008,1686,1,3986,1497,43,43
2025-05-12 00:06:26 UTC,10737418240,5275124208,16006,20616,2,3008,5147,2,3986,3943,49,48
2025-05-12 00:07:26 UTC,10737418240,4485625632,16005,20616,1,3008,2326,1,3986,2071,40,41
2025-05-12 00:08:26 UTC,10737418240,6965756024,16005,20616,2,3008,1722,2,3986,1584,51,50
2025-05-12 00:09:26 UTC,10737418240,5708781048,16005,20616,1,3008,1538,1,3986,1468,48,49
2025-05-12 00:10:27 UTC,10737418240,7684665424,16005,20616,2,3008,1765,2,3986,1520,39,38
2025-05-12 00:11:27 UTC,10737418240,7504730304,16005,20616,1,3008,2606,1,3986,2112,46,47
2025-05-12 00:12:27 UTC,10737418240,6500406672,16005,20616,1,3008,1609,1,3986,1424,52,52
2025-05-12 00:13:27 UTC,10737418240,7168805864,16001,20616,2,3008,2160,2,3986,2020,50,49
2025-05-12 00:14:27 UTC,10737418240,5999629904,16001,20616,2,3008,1626,2,3986,1543,42,42
2025-05-12 00:15:28 UTC,10737418240,3163944112,16000,20616,1,3008,1730,1,3986,1636,35,36
2025-05-12 00:16:28 UTC,10737418240,2662596576,16004,20616,1,3008,2379,1,3986,2170,45,45
2025-05-12 00:17:28 UTC,10737418240,7444877112,16000,20616,1,3008,1854,1,3986,1756,39,39
2025-05-12 00:18:28 UTC,10737418240,6178725304,16000,20616,1,3008,1670,1,3986,1528,48,48
2025-05-12 00:19:28 UTC,10737418240,4942524456,16000,20616,1,3008,2022,1,3986,1824,43,43
2025-05-12 00:20:28 UTC,10737418240,7489322216,16000,20616,1,3008,1696,1,3986,1474,47,47
2025-05-12 00:21:28 UTC,10737418240,7440201032,16000,20616,1,3008,2559,1,3986,2114,47,47
2025-05-12 00:22:28 UTC,10737418240,6316128888,16000,20616,1,3008,1609,1,3986,1386,53,53
2025-05-12 00:23:28 UTC,10737418240,5077752104,15999,20616,1,3008,1840,1,3986,1415,65,65
2025-05-12 00:24:28 UTC,10737418240,3799350904,15999,20616,1,3008,1670,1,3986,1395,68,68
2025-05-12 00:25:28 UTC,10737418240,9522426336,15999,20616,2,3008,1303,2,3986,1061,51,50
2025-05-12 00:26:28 UTC,10737418240,8744917776,15997,20616,2,3008,2300,2,3986,1865,55,55
